date,price_per_barrel,price_per_barrel_open,price_per_barrel_max,price_per_barrel_min,price_per_barrel_volume,relative_diff_lag_1
2022-06-21,114.65,114.21,116.25,114.02,204.03,0.46
2022-06-20,114.13,113.88,114.5,111.52,161.6,0.89
2022-06-17,113.12,119.13,121.25,111.72,319.91,-5.58
2022-06-16,119.81,119.65,120.29,115.56,276.68,1.1
2022-06-15,118.51,120.79,121.88,117.75,231.06,-2.2
2022-06-14,121.17,121.88,125.19,118.91,291.26,-0.9
2022-06-13,122.27,121.94,123.7,118.93,257.11,0.21
2022-06-10,122.01,122.89,124.33,119.81,294.28,-0.86
2022-06-09,123.07,123.6,124.34,122.5,218.98,-0.41
2022-06-08,123.58,120.65,124.4,120.45,256.29,2.5
2022-06-07,120.57,119.94,121.37,118.55,276.72,0.89
2022-06-06,119.51,121.55,121.95,118.77,204.09,-0.18
2022-06-03,119.72,118.22,121.45,116.02,141.66,1.79
2022-06-02,117.61,115.02,118.46,112.45,216.9,1.14
2022-06-01,116.29,116.08,118.57,115.4,242.16,-5.33
2022-05-31,122.84,122.2,125.28,121.6,11.56,0.96
2022-05-30,121.67,119.28,122.01,118.98,42.41,1.88
2022-05-27,119.43,117.52,119.72,116.63,81.16,1.73
2022-05-26,117.4,114.35,118.0,113.85,123.58,2.96
2022-05-25,114.03,114.12,115.3,113.01,152.33,0.41
2022-05-24,113.56,112.79,114.63,111.7,191.73,0.12
2022-05-23,113.42,112.85,114.34,111.86,196.51,0.77
2022-05-20,112.55,111.45,113.23,110.52,180.89,0.46
2022-05-19,112.04,108.22,112.31,105.7,272.35,2.69
2022-05-18,109.11,112.91,114.15,108.35,245.04,-2.52
2022-05-17,111.93,114.42,115.69,111.09,277.89,-2.02
2022-05-16,114.24,111.67,114.79,108.84,218.44,2.41
2022-05-13,111.55,108.25,111.69,107.79,220.32,3.82
2022-05-12,107.45,107.67,108.71,104.69,264.26,-0.06
2022-05-11,107.51,101.51,108.29,101.3,287.53,4.93
2022-05-10,102.46,105.5,106.96,101.54,327.99,-3.28
2022-05-09,105.94,112.94,113.2,105.0,302.17,-5.74
2022-05-06,112.39,111.27,113.5,109.87,249.83,1.34
2022-05-05,110.9,110.55,114.0,109.2,279.88,0.69
2022-05-04,110.14,105.91,111.0,105.46,241.68,4.93
2022-05-03,104.97,107.61,108.32,104.62,184.2,-2.43
2022-05-02,107.58,106.3,108.46,103.1,151.34,-1.61
2022-04-29,109.34,107.55,110.3,107.0,12.02,1.63
2022-04-28,107.59,104.96,108.0,103.29,73.32,2.16
2022-04-27,105.32,105.45,106.33,103.27,67.06,0.31
2022-04-26,104.99,102.53,106.2,101.08,138.2,2.61
2022-04-25,102.32,105.49,105.85,99.48,156.35,-4.06
2022-04-22,106.65,108.26,108.76,105.54,125.87,-1.55
2022-04-21,108.33,107.07,109.8,106.76,185.38,1.43
2022-04-20,106.8,108.1,109.0,104.65,243.67,-0.42
2022-04-19,107.25,112.85,114.21,106.74,239.91,-5.22
2022-04-18,113.16,112.32,114.84,110.71,132.15,1.31
2022-04-14,111.7,108.29,112.39,106.63,210.18,2.68
2022-04-13,108.78,105.44,109.0,104.06,247.26,3.96
2022-04-12,104.64,99.35,105.6,98.9,273.95,6.26
2022-04-11,98.48,103.21,103.3,97.57,238.69,-4.18
2022-04-08,102.78,101.42,103.3,99.65,217.64,2.19
2022-04-07,100.58,101.78,103.59,98.41,296.03,-0.48
2022-04-06,101.07,105.7,108.67,100.54,286.52,-5.22
2022-04-05,106.64,108.51,109.9,104.53,203.06,-0.83
2022-04-04,107.53,104.08,108.68,102.89,218.68,3.01
2022-04-01,104.39,105.25,106.24,102.35,238.62,-3.26
2022-03-31,107.91,112.81,112.94,106.5,8.68,-4.88
2022-03-30,113.45,112.0,114.8,110.74,72.33,2.92
2022-03-29,110.23,110.1,114.83,104.84,93.68,-2.0
2022-03-28,112.48,119.9,119.9,109.06,150.82,-6.77
2022-03-25,120.65,118.88,120.92,115.16,133.46,1.36
2022-03-24,119.03,121.56,123.74,116.93,177.66,-2.11
2022-03-23,121.6,114.7,122.34,114.45,224.53,5.3
2022-03-22,115.48,117.04,119.48,112.64,204.66,-0.12
2022-03-21,115.62,107.5,116.8,107.06,196.49,7.12
2022-03-18,107.93,106.8,109.59,105.78,168.91,1.21
2022-03-17,106.64,98.61,107.5,97.75,200.95,8.79
2022-03-16,98.02,99.14,103.7,96.93,246.82,-1.89
2022-03-15,99.91,105.34,105.71,97.44,318.12,-6.54
2022-03-14,106.9,113.15,113.15,103.49,265.91,-5.12
2022-03-11,112.67,110.26,113.91,107.13,287.39,3.05
2022-03-10,109.33,112.65,118.36,109.0,352.34,-1.63
2022-03-09,111.14,130.28,131.64,105.6,521.58,-13.16
2022-03-08,127.98,124.56,133.15,121.31,469.99,3.87
2022-03-07,123.21,122.79,139.13,119.04,419.93,4.32
2022-03-04,118.11,114.23,118.98,109.62,334.41,6.93
2022-03-03,110.46,115.27,119.84,109.4,452.52,-2.19
2022-03-02,112.93,107.34,115.11,106.83,490.57,7.58
2022-03-01,104.97,98.43,107.67,98.3,492.51,3.94
2022-02-28,100.99,101.98,105.07,99.64,22.96,3.12
2022-02-25,97.93,100.69,101.99,96.0,68.98,-1.16
2022-02-24,99.08,98.08,105.79,97.56,167.79,2.31
2022-02-23,96.84,96.65,98.71,95.81,238.63,0.0
2022-02-22,96.84,96.55,99.5,95.8,316.38,1.52
2022-02-21,95.39,94.29,97.4,92.57,217.04,1.98
2022-02-18,93.54,92.73,94.15,90.12,348.35,0.61
2022-02-17,92.97,92.2,94.5,92.14,347.79,-1.94
2022-02-16,94.81,93.49,96.07,91.11,393.79,1.64
2022-02-15,93.28,95.81,96.26,92.06,378.25,-3.32
2022-02-14,96.48,95.2,96.78,93.44,373.09,2.16
2022-02-11,94.44,91.17,95.66,90.51,452.11,3.31
2022-02-10,91.41,91.75,93.1,90.88,369.01,-0.15
2022-02-09,91.55,91.08,92.09,90.05,294.0,0.85
2022-02-08,90.78,92.63,92.93,89.93,368.55,-2.06
2022-02-07,92.69,92.75,94.0,92.13,317.29,-0.62
2022-02-04,93.27,91.3,93.7,91.2,322.13,2.37
2022-02-03,91.11,89.07,91.3,88.02,301.79,1.83
2022-02-02,89.47,89.48,90.52,88.28,319.43,0.35
2022-02-01,89.16,89.62,89.96,87.72,271.77,-2.25
2022-01-31,91.21,90.8,91.48,90.61,11.01,1.31
2022-01-28,90.03,89.98,91.7,89.41,102.01,0.77
2022-01-27,89.34,89.7,91.04,89.0,131.7,-0.69
2022-01-26,89.96,87.95,90.47,87.79,260.11,2.0
2022-01-25,88.2,86.76,88.37,86.2,256.21,2.24
2022-01-24,86.27,87.93,88.9,85.04,309.89,-1.84
2022-01-21,87.89,86.75,88.23,85.71,288.21,-0.55
2022-01-20,88.38,87.89,89.5,87.05,279.52,-0.07
2022-01-19,88.44,88.65,89.17,87.61,350.94,1.06
2022-01-18,87.51,86.47,88.66,86.44,356.88,1.19
2022-01-17,86.48,86.15,86.71,85.54,139.82,0.49
2022-01-14,86.06,84.12,86.5,83.99,304.72,1.88
2022-01-13,84.47,84.87,85.1,83.79,265.2,-0.24
2022-01-12,84.67,83.78,85.21,83.52,301.39,1.13
2022-01-11,83.72,81.08,83.98,80.89,324.94,3.52
2022-01-10,80.87,81.76,82.3,80.5,300.65,-1.08
2022-01-07,81.75,82.0,83.0,81.42,286.11,-0.29
2022-01-06,81.99,80.22,82.83,79.61,353.16,1.47
2022-01-05,80.8,80.07,81.5,79.51,331.74,1.0
2022-01-04,80.0,78.91,80.55,78.62,291.68,1.29
2022-01-03,78.98,78.11,79.28,77.04,201.03,1.54
2021-12-31,77.78,78.81,79.68,77.55,148.96,-1.94
2021-12-30,79.32,79.19,79.66,78.5,10.9,0.11
2021-12-29,79.23,79.28,80.17,78.13,69.63,0.37
2021-12-28,78.94,78.67,79.85,78.48,50.41,0.43
2021-12-27,78.6,76.32,79.08,75.75,85.39,3.23
2021-12-24,76.14,76.72,76.79,75.75,30.54,-0.92
2021-12-23,76.85,75.47,77.0,74.78,161.24,2.07
2021-12-22,75.29,74.05,75.67,73.62,166.71,1.77
2021-12-21,73.98,71.88,74.27,71.24,214.07,3.44
2021-12-20,71.52,72.82,72.87,69.28,333.76,-2.72
2021-12-17,73.52,74.5,74.98,72.65,231.41,-2.0
2021-12-16,75.02,74.47,75.61,74.0,223.64,1.54
2021-12-15,73.88,73.25,74.58,72.5,233.19,0.24
2021-12-14,73.7,74.42,75.16,72.57,277.86,-0.93
2021-12-13,74.39,75.37,76.39,74.2,265.51,-1.01
2021-12-10,75.15,73.99,75.71,73.8,221.36,0.98
2021-12-09,74.42,75.94,76.7,73.84,283.39,-1.85
2021-12-08,75.82,75.44,76.37,74.38,322.08,0.5
2021-12-07,75.44,73.6,76.27,73.2,312.28,3.23
2021-12-06,73.08,70.24,73.8,70.24,255.4,4.58
2021-12-03,69.88,70.22,72.62,69.24,331.82,0.3
2021-12-02,69.67,69.72,70.7,65.72,526.6,1.16
2021-12-01,68.87,69.8,72.87,68.14,420.4,-2.41
