date,USD,EUR,RUB,KGS,GBP,CNY,GLD,CHF,HKD,GEL,AED,INR,CAD,MYR,PLN,THB,TRY,UZS,UAH,CZK,ILS,KRW,JPY
2023-04-26,454.0,499.5375,5.519999999999999,5.25,580.0,67.5,29162.5,500.0,56.0,162.5,123.0,4.899999999999999,330.0,99.0,110.0,14.0,36.0,4.600000000000001,8.5,21.0,150.0,34.0,3.6
2023-04-27,455.25925925925924,504.3333333333333,5.546296296296294,5.25,580.0,67.64814814814815,29262.962962962964,500.0,56.0,162.5,123.0,5.0,330.0,99.0,110.0,14.0,36.0,4.450000000000002,8.5,21.0,150.0,34.0,3.5999999999999983
2023-04-28,453.60869565217394,501.4130434782609,5.5565217391304325,5.25,580.0,68.17391304347827,29121.739130434784,500.0,56.0,162.5,123.0,5.0,330.0,99.0,110.0,14.0,36.0,4.450000000000002,8.5,21.0,150.0,34.0,3.599999999999999
2023-04-29,453.0416666666667,499.5,5.6000000000000005,5.25,580.0,68.5,29000.0,500.0,56.0,162.5,118.0,5.0,330.0,99.0,110.0,14.666666666666666,28.125,4.479166666666668,8.5,21.0,133.0,34.0,3.600000000000001
2023-04-30,453.0,498.5,5.55,5.25,580.0,68.5,29000.0,500.0,56.0,162.5,117.0,5.0,330.0,99.0,110.0,15.0,25.5,4.5,8.5,21.0,116.0,34.0,3.6
2022-08-01,479.8421052631579,491.7631578947368,7.363157894736841,5.950000000000002,625.0,67.9,26700.0,495.0,54.0,180.0,123.0,4.799999999999999,345.0,98.0,113.0,15.0,39.0,4.4,16.699999999999996,18.699999999999996,125.0,37.5,3.100000000000001
2022-08-02,477.675,489.46666666666664,7.493333333333331,5.949999999999998,620.6666666666666,67.90000000000003,26700.0,495.0,54.0,180.0,123.0,4.8,345.0,98.0,113.0,15.0,39.0,4.400000000000002,16.699999999999992,18.699999999999996,125.0,37.5,3.099999999999999
2022-08-03,478.2708333333333,487.4791666666667,7.4770833333333355,5.904166666666668,615.0,67.90000000000002,26700.0,495.0,54.0,180.0,123.0,4.799999999999998,345.0,98.0,113.0,15.0,39.0,4.400000000000001,16.699999999999992,18.699999999999992,125.0,37.5,3.1
2022-08-04,477.5,486.7,7.539999999999998,5.900000000000001,615.0,67.89999999999999,26700.0,495.0,54.0,180.0,123.0,4.799999999999999,345.0,98.0,113.0,15.0,39.0,4.3999999999999995,16.699999999999996,18.699999999999996,125.0,37.5,3.100000000000001
2022-08-05,478.25,490.3863636363636,7.486363636363637,5.900000000000002,615.0,67.90000000000002,26972.727272727272,495.0,54.0,180.0,123.0,4.799999999999998,345.0,98.0,113.0,15.0,39.0,4.400000000000001,16.699999999999992,18.699999999999992,125.0,37.5,3.100000000000001
