mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_importance_type,param_learning_rate,param_max_depth,param_min_child_samples,param_n_estimators,param_num_leaves,param_reg_lambda,params,split0_test_neg_mean_squared_log_error,split1_test_neg_mean_squared_log_error,split2_test_neg_mean_squared_log_error,split3_test_neg_mean_squared_log_error,split4_test_neg_mean_squared_log_error,mean_test_neg_mean_squared_log_error,std_test_neg_mean_squared_log_error,rank_test_neg_mean_squared_log_error,split0_test_neg_median_absolute_error,split1_test_neg_median_absolute_error,split2_test_neg_median_absolute_error,split3_test_neg_median_absolute_error,split4_test_neg_median_absolute_error,mean_test_neg_median_absolute_error,std_test_neg_median_absolute_error,rank_test_neg_median_absolute_error,split0_test_neg_mean_squared_error,split1_test_neg_mean_squared_error,split2_test_neg_mean_squared_error,split3_test_neg_mean_squared_error,split4_test_neg_mean_squared_error,mean_test_neg_mean_squared_error,std_test_neg_mean_squared_error,rank_test_neg_mean_squared_error,split0_test_r2,split1_test_r2,split2_test_r2,split3_test_r2,split4_test_r2,mean_test_r2,std_test_r2,rank_test_r2
0.03925776481628418,0.006436160046407038,0.004215097427368164,0.0022336284078607995,gain,0.05,-1,5,1,80,0.01,"{'importance_type': 'gain', 'learning_rate': 0.05, 'max_depth': -1, 'min_child_samples': 5, 'n_estimators': 1, 'num_leaves': 80, 'reg_lambda': 0.01}",-5.8792334400095205,-4.9279485627662325,-4.546405231651023,-4.495618290497255,-3.4633096921197803,-4.662503043408762,0.7784970260937629,1591,-29968.80203608926,-28451.514320293143,-26067.75001746521,-26468.498140457617,-25498.35533253421,-27290.983969367888,1667.5636097804427,1609,-1975370012.8274739,-1299749185.0503507,-1245471924.0832677,-1332830673.7471585,-1411211888.3116763,-1452926736.803985,266687469.25600615,151,-0.017230313509416506,-0.005506681330210039,-0.0031583777359347476,-0.0016003290458801445,-0.000311541792418657,-0.005561448682772019,0.006085920586338454,151
0.03525643348693848,0.004172727441192965,0.004692840576171875,0.002780491414280356,gain,0.05,-1,5,1,80,0.03,"{'importance_type': 'gain', 'learning_rate': 0.05, 'max_depth': -1, 'min_child_samples': 5, 'n_estimators': 1, 'num_leaves': 80, 'reg_lambda': 0.03}",-5.879238634264226,-4.927962824982585,-4.546405480788917,-4.495621589600308,-3.463314141096484,-4.662508534146504,0.7784981028412715,1597,-29968.79383364153,-28451.517980611352,-26067.76556128666,-26468.498337068435,-25498.852996074063,-27291.08574173641,1667.4521956153862,1615,-1975367208.1929097,-1299749558.359733,-1245471935.9814038,-1332830652.69085,-1411211845.6771374,-1452926240.1804068,266686328.89046326,145,-0.017228869243644196,-0.00550697012829704,-0.0031583873192218004,-0.0016003132224104988,-0.000311511571711387,-0.0055612102970569845,0.0060853727559687714,145
0.040162086486816406,0.003989091719391043,0.005544519424438477,0.003104221731447563,gain,0.05,-1,5,1,100,0,"{'importance_type': 'gain', 'learning_rate': 0.05, 'max_depth': -1, 'min_child_samples': 5, 'n_estimators': 1, 'num_leaves': 100, 'reg_lambda': 0}",-5.879833703723743,-4.928024799925933,-4.546382534540101,-4.4958326734398115,-3.463396434479847,-4.662694029221887,0.7786546348326031,1603,-29968.806137904652,-28453.363727346215,-26063.208610948343,-26468.498042138548,-25497.83935341013,-27290.343174349575,1668.60056693891,1585,-1975298084.145811,-1299762380.1720893,-1245480544.041948,-1332849187.0198357,-1411194813.7952867,-1452917001.834994,266655297.5074608,139,-0.01719327334229681,-0.00551688928665417,-0.003165320633320645,-0.0016142414657922544,-0.00029943883611793787,-0.005557832712836363,0.00607143948570597,139
0.0381624698638916,0.00517194017372109,0.0033396244049072265,0.00031415997752309654,gain,0.05,-1,5,1,100,0.01,"{'importance_type': 'gain', 'learning_rate': 0.05, 'max_depth': -1, 'min_child_samples': 5, 'n_estimators': 1, 'num_leaves': 100, 'reg_lambda': 0.01}",-5.879836141173351,-4.928031951949064,-4.546382714201735,-4.4958343658289035,-3.4633854897308436,-4.66269413257678,0.7786591778292049,1609,-29968.80203608926,-28453.363457014435,-26063.21769305731,-26468.498140457617,-25498.35533253421,-27290.44733183056,1668.4870169984254,1591,-1975296701.327437,-1299762568.6001403,-1245480555.8244774,-1332849181.3070714,-1411195077.3040974,-1452916816.8726447,266654724.50624025,133,-0.017192561250506833,-0.005517035057597042,-0.003165330123492849,-0.0016142371727438931,-0.00029962561948271293,-0.005557757844764666,0.006071133812170141,133
0.03605523109436035,0.003380436959693255,0.004823160171508789,0.0027694967716233717,gain,0.05,-1,5,1,100,0.03,"{'importance_type': 'gain', 'learning_rate': 0.05, 'max_depth': -1, 'min_child_samples': 5, 'n_estimators': 1, 'num_leaves': 100, 'reg_lambda': 0.03}",-5.879841009201657,-4.928046236706939,-4.546383073495398,-4.495837746542809,-3.4633897788320978,-4.66269956895578,0.7786601963927686,1615,-29968.79383364153,-28453.36291643037,-26063.23585455103,-26468.498337068435,-25498.852996074063,-27290.548787553085,1668.3747188850407,1597,-1975293939.6056821,-1299762945.5143726,-1245480579.3886027,-1332849170.018831,-1411195042.8202734,-1452916335.4695525,266653597.58995917,127,-0.017191139082979756,-0.005517326644453258,-0.003165349103085635,-0.0016142286898168656,-0.0002996011762594897,-0.005557528939319001,0.006070592175189435,127
0.06523375511169434,0.006297722771562365,0.005028152465820312,0.00018278012329604027,gain,0.05,-1,5,20,20,0,"{'importance_type': 'gain', 'learning_rate': 0.05, 'max_depth': -1, 'min_child_samples': 5, 'n_estimators': 20, 'num_leaves': 20, 'reg_lambda': 0}",-5.827326042244079,-4.765740772590097,-4.422860382804767,-4.463433247285116,-3.3842272173228327,-4.572717532449379,0.7820754354302106,991,-29673.007199140353,-26573.35811040111,-25051.05598746572,-26071.73101433103,-24844.72263569285,-26442.77498940621,1736.650731569438,1009,-2034729309.318435,-1317999768.6796308,-1247430214.7971802,-1335660126.1124341,-1428292006.2054746,-1472822285.0226312,286812658.16162926,604,-0.04779778967190507,-0.019625623652690605,-0.004735672011074499,-0.0037266159598150495,-0.01241846861598872,-0.017660833982294788,0.016129483160972957,604
0.07354340553283692,0.009671104131930591,0.010288429260253907,0.006078362924590789,gain,0.05,-1,5,20,20,0.01,"{'importance_type': 'gain', 'learning_rate': 0.05, 'max_depth': -1, 'min_child_samples': 5, 'n_estimators': 20, 'num_leaves': 20, 'reg_lambda': 0.01}",-5.827343352097592,-4.765788954655751,-4.422885263123648,-4.463972853934449,-3.3847278992246768,-4.572943664607223,0.7819151806184548,1009,-29669.27674036605,-26570.494007908892,-25051.054763816217,-26075.519927644193,-24894.313260685674,-26452.13174008421,1726.017563336841,1027,-2034702864.9447103,-1317981036.5236406,-1247425611.5217178,-1335683081.285899,-1427962533.482296,-1472751025.5516527,286813107.0491096,595,-0.04778417196059026,-0.01961113215831567,-0.0047319643286645174,-0.0037438663951092632,-0.012184927947552548,-0.01761121255804645,0.01613710040091433,595
0.06303229331970214,0.004845757207967989,0.005728387832641601,0.0011620846404527014,gain,0.05,-1,5,20,20,0.03,"{'importance_type': 'gain', 'learning_rate': 0.05, 'max_depth': -1, 'min_child_samples': 5, 'n_estimators': 20, 'num_leaves': 20, 'reg_lambda': 0.03}",-5.827377960661682,-4.765885225787792,-4.422934969394166,-4.463455789144135,-3.384776589463258,-4.5728861068902065,0.7819287735533328,1000,-29661.82091907994,-26567.364233027798,-25051.052308814287,-26071.719600999473,-24894.196978702217,-26449.23080812474,1723.382648466332,1018,-2034650026.458348,-1317943635.4032848,-1247416421.9866223,-1335654032.3651507,-1427941033.3744032,-1472721029.9175618,286801330.28607637,586,-0.04775696242025185,-0.019582198055613675,-0.004724562669148558,-0.003722036608960977,-0.012169687992267919,-0.017591089549248595,0.01613216747627249,586
0.08469986915588379,0.005866958842144093,0.007821273803710938,0.004179757004439282,gain,0.05,-1,5,20,40,0,"{'importance_type': 'gain', 'learning_rate': 0.05, 'max_depth': -1, 'min_child_samples': 5, 'n_estimators': 20, 'num_leaves': 40, 'reg_lambda': 0}",-5.814604760702386,-4.721686255743265,-4.4899231080438575,-4.453111614753222,-3.3730560264220184,-4.570476353132951,0.7777915755648835,967,-29689.396236314587,-25265.18038335439,-25211.53558036713,-26007.148546395598,-24022.553873992307,-26039.162924084805,1932.664285820509,826,-2042796985.073258,-1342558737.154099,-1242871342.2473583,-1348501993.8412645,-1439414509.9068835,-1483228713.6445727,286617282.1511719,685,-0.05195229454141259,-0.038624833016841054,-0.0010637536779893875,-0.013377068336183573,-0.02030245040376899,-0.02506407999523912,0.01812261087820226,685
0.08582258224487305,0.003943975532621418,0.007283306121826172,0.0019802150010201206,gain,0.05,-1,5,20,40,0.01,"{'importance_type': 'gain', 'learning_rate': 0.05, 'max_depth': -1, 'min_child_samples': 5, 'n_estimators': 20, 'num_leaves': 40, 'reg_lambda': 0.01}",-5.8148324116480135,-4.720331560088771,-4.489923464648203,-4.453120722345786,-3.37307710301799,-4.570257052349753,0.7778051708554407,955,-29702.73405794588,-25268.71854080783,-25211.545954149446,-26007.32473522697,-24022.531416440055,-26042.570940914033,1937.4233447808915,832,-2042743514.341987,-1343900543.0458229,-1242871340.8166406,-1348494219.7059221,-1439400261.0115635,-1483481975.784387,286466338.12828964,697,-0.051924759422229405,-0.03966287543663638,-0.0010637525256258495,-0.013371226201341901,-0.020292350336894138,-0.025262992784545534,0.0182752895930927,697
